"MEASURE","Measure","VEHICLE","Vehicle Type","ASGS_2011","Region","TSEST","Adjustment Type","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Number","100","Passenger vehicles","1","New South Wales","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",12439,,
"1","Number","100","Passenger vehicles","5","Western Australia","30","Trend","M","Monthly","2017-12","Dec-2017",2859.6,,
"1","Number","200","Sports utility vehicles","6","Tasmania","30","Trend","M","Monthly","2017-12","Dec-2017",824.6,,
"1","Number","900","Total Vehicles","1","New South Wales","30","Trend","M","Monthly","2017-12","Dec-2017",33161.1,,
"1","Number","100","Passenger vehicles","8","Australian Capital Territory","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",670.2,,
"1","Number","100","Passenger vehicles","6","Tasmania","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",537.8,,
"1","Number","100","Passenger vehicles","4","South Australia","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",2079.5,,
"1","Number","200","Sports utility vehicles","0","Australia","30","Trend","M","Monthly","2017-12","Dec-2017",39642.6,,
"1","Number","100","Passenger vehicles","7","Northern Territory","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",232.9,,
"1","Number","200","Sports utility vehicles","8","Australian Capital Territory","30","Trend","M","Monthly","2017-12","Dec-2017",599.5,,
"1","Number","100","Passenger vehicles","3","Queensland","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",6244.3,,
"1","Number","200","Sports utility vehicles","7","Northern Territory","30","Trend","M","Monthly","2017-12","Dec-2017",292.3,,
"1","Number","200","Sports utility vehicles","3","Queensland","30","Trend","M","Monthly","2017-12","Dec-2017",7298.1,,
"1","Number","100","Passenger vehicles","2","Victoria","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",11401.6,,
"1","Number","900","Total Vehicles","7","Northern Territory","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",853.6,,
"1","Number","900","Total Vehicles","6","Tasmania","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",1868.6,,
"1","Number","100","Passenger vehicles","8","Australian Capital Territory","30","Trend","M","Monthly","2017-12","Dec-2017",665,,
"1","Number","200","Sports utility vehicles","1","New South Wales","30","Trend","M","Monthly","2017-12","Dec-2017",13062.4,,
"1","Number","900","Total Vehicles","4","South Australia","30","Trend","M","Monthly","2017-12","Dec-2017",6128.3,,
"1","Number","900","Total Vehicles","3","Queensland","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",19677.8,,
"1","Number","100","Passenger vehicles","0","Australia","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",36338.9,,
"1","Number","500","Other vehicles","2","Victoria","30","Trend","M","Monthly","2017-12","Dec-2017",5664.3,,
"1","Number","500","Other vehicles","3","Queensland","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",5961.1,,
"1","Number","500","Other vehicles","8","Australian Capital Territory","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",237.9,,
"1","Number","500","Other vehicles","6","Tasmania","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",488.3,,
"1","Number","200","Sports utility vehicles","2","Victoria","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",13122.2,,
"1","Number","900","Total Vehicles","5","Western Australia","30","Trend","M","Monthly","2017-12","Dec-2017",8549,,
"1","Number","500","Other vehicles","7","Northern Territory","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",302.1,,
"1","Number","500","Other vehicles","4","South Australia","30","Trend","M","Monthly","2017-12","Dec-2017",1462.7,,
"1","Number","900","Total Vehicles","8","Australian Capital Territory","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",1533.3,,
"1","Number","900","Total Vehicles","2","Victoria","30","Trend","M","Monthly","2017-12","Dec-2017",28323,,
"1","Number","200","Sports utility vehicles","4","South Australia","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",2783.3,,
"1","Number","500","Other vehicles","5","Western Australia","30","Trend","M","Monthly","2017-12","Dec-2017",2254.9,,
"1","Number","200","Sports utility vehicles","5","Western Australia","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",3340.2,,
"1","Number","100","Passenger vehicles","7","Northern Territory","30","Trend","M","Monthly","2017-12","Dec-2017",244.8,,
"1","Number","100","Passenger vehicles","2","Victoria","30","Trend","M","Monthly","2017-12","Dec-2017",11070.6,,
"1","Number","100","Passenger vehicles","3","Queensland","30","Trend","M","Monthly","2017-12","Dec-2017",6247.8,,
"1","Number","900","Total Vehicles","0","Australia","30","Trend","M","Monthly","2017-12","Dec-2017",99756.2,,
"1","Number","100","Passenger vehicles","5","Western Australia","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",2733.7,,
"1","Number","900","Total Vehicles","1","New South Wales","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",33832.2,,
"1","Number","900","Total Vehicles","2","Victoria","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",31280.8,,
"1","Number","200","Sports utility vehicles","5","Western Australia","30","Trend","M","Monthly","2017-12","Dec-2017",3434.4,,
"1","Number","100","Passenger vehicles","6","Tasmania","30","Trend","M","Monthly","2017-12","Dec-2017",521.9,,
"1","Number","100","Passenger vehicles","1","New South Wales","30","Trend","M","Monthly","2017-12","Dec-2017",12537.5,,
"1","Number","100","Passenger vehicles","4","South Australia","30","Trend","M","Monthly","2017-12","Dec-2017",2122.4,,
"1","Number","200","Sports utility vehicles","8","Australian Capital Territory","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",625.2,,
"1","Number","200","Sports utility vehicles","0","Australia","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",42239.7,,
"1","Number","900","Total Vehicles","4","South Australia","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",6360.8,,
"1","Number","500","Other vehicles","2","Victoria","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",6757.1,,
"1","Number","500","Other vehicles","0","Australia","30","Trend","M","Monthly","2017-12","Dec-2017",23843.8,,
"1","Number","500","Other vehicles","1","New South Wales","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",7657.9,,
"1","Number","200","Sports utility vehicles","7","Northern Territory","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",318.6,,
"1","Number","200","Sports utility vehicles","4","South Australia","30","Trend","M","Monthly","2017-12","Dec-2017",2543.1,,
"1","Number","200","Sports utility vehicles","3","Queensland","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",7472.4,,
"1","Number","500","Other vehicles","8","Australian Capital Territory","30","Trend","M","Monthly","2017-12","Dec-2017",248.5,,
"1","Number","500","Other vehicles","0","Australia","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",25164.4,,
"1","Number","500","Other vehicles","1","New South Wales","30","Trend","M","Monthly","2017-12","Dec-2017",7561.1,,
"1","Number","500","Other vehicles","7","Northern Territory","30","Trend","M","Monthly","2017-12","Dec-2017",300,,
"1","Number","500","Other vehicles","4","South Australia","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",1498,,
"1","Number","500","Other vehicles","5","Western Australia","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",2262.1,,
"1","Number","200","Sports utility vehicles","1","New South Wales","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",13735.4,,
"1","Number","500","Other vehicles","3","Queensland","30","Trend","M","Monthly","2017-12","Dec-2017",5873.2,,
"1","Number","500","Other vehicles","6","Tasmania","30","Trend","M","Monthly","2017-12","Dec-2017",479.1,,
"1","Number","900","Total Vehicles","7","Northern Territory","30","Trend","M","Monthly","2017-12","Dec-2017",837.1,,
"1","Number","900","Total Vehicles","8","Australian Capital Territory","30","Trend","M","Monthly","2017-12","Dec-2017",1513.1,,
"1","Number","900","Total Vehicles","0","Australia","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",103743,,
"1","Number","200","Sports utility vehicles","2","Victoria","30","Trend","M","Monthly","2017-12","Dec-2017",11588.1,,
"1","Number","900","Total Vehicles","6","Tasmania","30","Trend","M","Monthly","2017-12","Dec-2017",1825.6,,
"1","Number","900","Total Vehicles","3","Queensland","30","Trend","M","Monthly","2017-12","Dec-2017",19419.1,,
"1","Number","200","Sports utility vehicles","6","Tasmania","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",842.5,,
"1","Number","100","Passenger vehicles","0","Australia","30","Trend","M","Monthly","2017-12","Dec-2017",36269.8,,
"1","Number","900","Total Vehicles","5","Western Australia","20","Seasonally Adjusted","M","Monthly","2017-12","Dec-2017",8336,,
